Average and SD of comm time
Data size : 262144
Repeat time : 100
# of process: 64

ave sd min max mode
process: 0
	node group: 0
	comm time
		  53 : 0.001678	0.001855	0.000371	0.010698	0.000983
		  54 : 0.002795	0.003072	0.000372	0.011342	0.001382
		  55 : 0.002352	0.002368	0.000372	0.011911	0.001447
		  56 : 0.002566	0.002997	0.000235	0.013349	0.001585
		  57 : 0.001824	0.001369	0.000364	0.007758	0.001307
		  58 : 0.001652	0.001119	0.000409	0.005727	0.001262
		  59 : 0.002598	0.002992	0.000369	0.010976	0.001288
		  60 : 0.002510	0.002739	0.000316	0.011010	0.001358
		  61 : 0.001575	0.001686	0.000366	0.011629	0.000990
		  62 : 0.001663	0.001411	0.000536	0.007729	0.001169
		  63 : 0.002672	0.006616	0.000428	0.065290	0.001316
process: 5
	node group: 2
	comm time
		   0 : 0.000990	0.000788	0.000286	0.004795	0.000772
		   1 : 0.001055	0.000682	0.000334	0.004047	0.000842
		   2 : 0.002167	0.002159	0.000330	0.006946	0.001003
		   3 : 0.002056	0.008061	0.000264	0.081576	0.000861
		   4 : 0.000350	0.000570	0.000214	0.005888	0.000223
		   5 : 0.000000	0.000000	0.000000	0.000000	0.000000
		   6 : 0.000259	0.000085	0.000214	0.000700	0.000227
		   7 : 0.000256	0.000091	0.000207	0.000637	0.000219
		   8 : 0.001494	0.001325	0.000362	0.010017	0.001104
		   9 : 0.000987	0.000560	0.000262	0.003407	0.000821
		  10 : 0.001040	0.000628	0.000430	0.004610	0.000842
		  11 : 0.000997	0.000458	0.000337	0.003101	0.000852
		  12 : 0.001319	0.001560	0.000348	0.007102	0.000786
		  13 : 0.001640	0.001753	0.000273	0.006887	0.000792
		  14 : 0.002224	0.008805	0.000369	0.089107	0.001006
		  15 : 0.001068	0.000745	0.000435	0.004262	0.000814
		  16 : 0.001258	0.001238	0.000312	0.006064	0.000843
		  17 : 0.001278	0.001109	0.000336	0.005849	0.000876
		  18 : 0.001343	0.001286	0.000423	0.006053	0.000845
		  19 : 0.000992	0.000556	0.000254	0.003380	0.000806
		  20 : 0.001342	0.000877	0.000302	0.005375	0.000998
		  21 : 0.001150	0.000867	0.000248	0.005336	0.000832
		  22 : 0.001104	0.000852	0.000380	0.007895	0.000870
		  23 : 0.001412	0.001405	0.000300	0.006492	0.000908
		  24 : 0.001485	0.001655	0.000367	0.007557	0.000857
		  25 : 0.001013	0.000548	0.000289	0.003066	0.000852
		  26 : 0.001405	0.001492	0.000399	0.006302	0.000844
		  27 : 0.001974	0.002183	0.000407	0.006903	0.000923
